name	chi2f	dummy1	dummy2 	dummy3	dummy4
pq125a003	4949				
pq125a004	4973				
pq125a005	4945				
pq125a006	4948				
pq125a007	4971				
pq125a008	4965				
pq125a009	4965				
pq125a010	4959				
pq125a011	4954				
pq125a012	4970				
pq125a013	4948				
pq125a014	4990				
pq125a015	4970				
pq125a016	4967				
pq125a017	4959				
pq125a018	5007				
pq125a019	4969				
pq125a020	4987				
pq125a021	4949				
pq125a022	4964				
pq125a023	4998				
pq125a024	4959				
pq125a025	4952				
pq125a026	4992				
pq125a027	4976				
pq125a028	5006				
pq125a029	5003				
pq125a030	4971				
pq125a031	5016				
pq125a032	4962				
pq125a033	5036				
pq125a034	4964				
pq125a035	4950				
pq125a036	4946				
pq125a037	4969				
pq125a038	4957				
pq125a039	5015				
pq125a040	4982				
pq125a041	4947				
pq125a042	4952				
pq125a043	4959				
pq125a044	4962				
pq125a045	5040				
pq125a046	4948				
pq125a047	4994				
pq125a048	4965				
pq125a049	4962				
pq125a050	4963				
pq125a051	4968				
pq125a052	5013				
pq125a053	4957				
pq125a054	4977				
pq125a055	4957				
pq125a056	5018				
pq125a057	4978				
pq125a058	5019				
pq125a059	4963				
pq125a060	4946				
pq125a061	4951				
pq125a062	4955				
pq125a063	5023				
pq125a064	4989				
pq125a065	4972				
pq125a066	4958				
pq125a067	4953				
pq125a068	4986				
pq125a069	5017				
pq125a070	4952				
pq125a071	4979				
pq125a072	4955				
pq125a073	4960				
pq125a074	5018				
pq125a075	4983				
pq125a076	4987				
pq125a077	4976				
pq125a078	4964				
pq125a079	4970				
pq125a080	4963				
pq125a081	5021				
pq125a082	5002				
pq125a083	4958				
pq125a084	4963				
pq125a085	4996				
pq125a086	4963				
pq125a087	4976				
pq125a088	4957				
pq125a089	4962				
pq125a090	4959				
pq125a091	4996				
pq125a092	5021				
pq125a093	5026				
pq125a094	4995				
pq125a095	4964				
pq125a096	5028				
pq125a097	4987				
pq125a098	5024				
pq125a099	4992				
pq125a100	4973				
pq125a101	4956				
pq125a102	4968				
pq125a103	5008				
pq125a104	4979				
pq125a105	4957				
pq125a106	4960				
pq125a107	5011				
pq125a108	4955				
pq125a109	4977				
pq125a110	4969				
pq125a111	4970				
pq125a112	4966				
pq125a113	4963				
pq125a114	5008				
pq125a115	5029				
pq125a116	5029				
pq125a117	4967				
pq125a118	4981				
pq125a119	4967				
pq125a120	4966				
pq125a121	4974				
pq125a122	5004				
pq125a123	5062				
pq125a124	4968				
pq125a125	4968				
pq125a126	4960				
pq125a127	5044				
pq125a128	4998				
pq125a129	4986				
pq125a130	4969				
pq125a131	5034				
pq125a132	4997				
pq125a133	4970				
pq125a134	4970				
pq125a135	5000				
pq125a136	4969				
pq125a137	4978				
pq125a138	4978				
pq125a139	5010				
pq125a140	4995				
pq125a141	4998				
pq125a142	4974				
pq125a143	4970				
pq125a144	4970				
pq125a145	4982				
pq125a146	4994				
pq125a147	5025				
pq125a148	4996				
pq125a149	4978				
pq125a150	4979				
pq125a151	4981				
pq125a152	5000				
pq125a153	4981				
pq125a154	4981				
pq125a155	4968				
pq125a156	5038				
pq125a157	4972				
pq125a158	4994				
pq125a159	4971				
pq125a160	4988				
pq125a161	5033				
pq125a162	5033				
pq125a163	5008				
pq125a164	5009				
pq125a165	5016				
pq125a166	5011				
pq125a167	4993				
pq125a168	4981				
pq125a169	4988				
pq125a170	5038				
pq125a171	5035				
pq125a172	5029				
pq125a173	4979				
pq125a174	4976				
pq125a175	5012				
pq125a176	5006				
pq125a177	4998				
pq125a178	5018				
pq125a179	5016				
pq125a180	5014				
pq125a181	5020				
pq125a182	4970				
pq125a183	5049				
pq125a184	5019				
pq125a185	5016				
pq125a186	5000				
pq125a187	5028				
pq125a188	5076				
pq125a189	5061				
pq125a190	5009				
pq125a191	5063				
pq125a192	5081				
pq125a193	5006				
pq125a194	5012				
pq125a195	5009				
pq125a196	5012				
pq125a197	4983				
pq125a198	5060				
pq125a199	5045				
pq125a200	5006				
pq125a201	5026				
pq125a202	5013				
pq125a203	5024				
pq125a204	5047				
pq125a205	4984				
pq125a206	5008				
pq125a207	5008				
pq125a208	4990				
pq125a209	5031				
pq125a210	5047				
pq125a211	5028				
pq125a212	4994				
pq125a213	5027				
pq125a214	5083				
pq125a215	5049				
pq125a216	5002				
pq125a217	5000				
pq125a218	5055				
pq125a219	5021				
pq125a220	5027				
pq125a221	5042				
pq125a222	5062				
pq125a223	5001				
pq125a224	5000				
pq125a225	5024				
pq125a226	5005				
pq125a227	5028				
pq125a228	5028				
pq125a229	5027				
pq125a230	5023				
pq125a231	5006				
pq125a232	5026				
pq125a233	5026				
pq125a234	5039				
pq125a235	5030				
pq125a236	5086				
pq125a237	5082				
pq125a238	5043				
pq125a239	5006				
pq125a240	5064				
pq125a241	5033				
pq125a242	5075				
pq125a243	5060				
pq125a244	5077				
pq125a245	5033				
pq125a246	5090				
pq125a247	5072				
pq125a248	5078				
pq125a249	5080				
pq125a250	5017				
pq125a251	5023				
pq125a252	5051				
pq125a253	5020				
pq125a254	5022				
pq125a255	5021				
pq125a256	5000				
pq125a257	5041				
pq125a258	5084				
pq125a259	5026				
pq125a260	5024				
pq125a261	5023				
pq125a262	5060				
pq125a263	4989				
pq125a264	5031				
pq125a265	5001				
pq125a266	5031				
pq125a267	4998				
pq125a268	5061				
pq125a269	5000				
pq125a270	5001				
pq125a271	5005				
pq125a272	5028				
pq125a273	5025				
pq125a274	5000				
pq125a275	4996				
pq125a276	5004				
pq125a277	5041				
pq125a278	5040				
pq125a279	5010				
pq125a280	5067				
pq125a281	5068				
pq125a282	5060				
pq125a283	5061				
pq125a284	5019				
pq125a285	5019				
pq125a286	5019				
pq125a287	5054				
pq125a288	5213				
